datetime,open,high,low,close,volume
2015-01-02,27.8475,27.86,26.8375,27.3325,53204600
2015-01-05,27.0725,27.1625,26.3525,26.5625,64285500
2015-01-06,26.635,26.8575,26.1575,26.565,65797100
2015-01-07,26.8,27.05,26.675,26.9375,40105900
2015-01-08,27.3075,28.0375,27.175,27.9725,59364500
2015-01-09,28.1675,28.3125,27.5525,28.0025,53699500
2015-01-12,28.15,28.1575,27.2,27.3125,49650800
2015-01-13,27.8575,28.2,27.2275,27.555,67091900
2015-01-14,27.26,27.6225,27.125,27.45,48956600
2015-01-15,27.5,27.515,26.665,26.705,60014000
2015-01-16,26.7575,26.895,26.3,26.4975,78513300
2015-01-20,26.96,27.2425,26.625,27.18,49899900
2015-01-21,27.2375,27.765,27.0675,27.3875,48575900
2015-01-22,27.565,28.1175,27.43,28.1,53796400
2015-01-23,28.075,28.4375,27.8825,28.245,46464800
2015-01-26,28.435,28.59,28.2,28.275,55615000
2015-01-27,28.105,28.12,27.2575,27.285,95568700
2015-01-28,29.4075,29.53,28.8275,28.8275,146477100
2015-01-29,29.08,29.7975,28.89,29.725,84436400
2015-01-30,29.6,30.0,29.2125,29.29,83745500
2015-02-02,29.5125,29.7925,29.02,29.6575,62739100
2015-02-03,29.625,29.7725,29.4025,29.6625,51915700
2015-02-04,29.625,30.1275,29.5775,29.89,70149700
2015-02-05,30.005,30.0575,29.8125,29.985,42246200
2015-02-06,30.005,30.0625,29.6125,29.7325,43706600
2015-02-09,29.6375,29.96,29.6075,29.93,38889800
2015-02-10,30.0425,30.5375,30.04,30.505,62008500
2015-02-11,30.6925,31.23,30.625,31.22,73561800
2015-02-12,31.515,31.87,31.3925,31.615,74474500
2015-02-13,31.82,31.82,31.4125,31.77,54272200
2015-02-17,31.8725,32.22,31.73,31.9575,63152400
2015-02-18,31.9075,32.195,31.8625,32.18,44891700
2015-02-19,32.12,32.2575,32.0825,32.1125,37362400
2015-02-20,32.155,32.375,32.0125,32.375,48948400
2015-02-23,32.505,33.25,32.415,33.25,70974100
2015-02-24,33.235,33.4,32.7925,33.0425,69228100
2015-02-25,32.89,32.9,32.0375,32.1975,74711700
2015-02-26,32.1975,32.7175,31.6525,32.605,91287500
2015-02-27,32.5,32.6425,32.06,32.115,62014800
2015-03-02,32.3125,32.57,32.075,32.2725,48096700
2015-03-03,32.24,32.38,32.0225,32.34,37816300
2015-03-04,32.275,32.39,32.08,32.135,31666300
2015-03-05,32.145,32.1875,31.44,31.6025,56517100
2015-03-06,32.1,32.3425,31.565,31.65,72842100
2015-03-09,31.99,32.3925,31.265,31.785,88528500
2015-03-10,31.6025,31.805,30.95,31.1275,68856600
2015-03-11,31.1875,31.1925,30.5275,30.56,68939000
2015-03-12,30.5775,31.225,30.4075,31.1125,48362700
2015-03-13,31.1,31.35,30.645,30.8975,51827300
2015-03-16,30.97,31.2375,30.7175,31.2375,35874300
2015-03-17,31.475,31.83,31.4125,31.76,51023100
2015-03-18,31.75,32.29,31.5925,32.1175,65270900
2015-03-19,32.1875,32.3125,31.85,31.875,45809500
2015-03-20,32.0625,32.1,31.29,31.475,68695100
2015-03-23,31.78,31.9625,31.63,31.8025,37709700
2015-03-24,31.8075,32.01,31.64,31.6725,32842300
2015-03-25,31.635,31.705,30.845,30.845,51655200
2015-03-26,30.69,31.22,30.65,31.06,47572900
2015-03-27,31.1425,31.175,30.7275,30.8125,39546200
